question_id,db_id,question,evidence,SQL,difficulty,query_length,generated_sql
1403,student_club,Indicate the name of the closed event whose cost has exceeded the budget the most.,closed events refers to event_name where status = 'Closed'; exceed the budget the most refers to MIN(remaining) where remaining < 0,SELECT T2.event_name FROM budget AS T1 INNER JOIN event AS T2 ON T2.event_id = T1.link_to_event WHERE T1.event_status = 'Closed' AND T1.remaining < 0 ORDER BY T1.remaining LIMIT 1,moderate,15,SELECT T1.event_name FROM events AS T1 INNER JOIN budgets AS T2 ON T1.event_id = T2.event_id WHERE T1.status = 'Closed' AND T2.remaining < 0 ORDER BY T2.remaining ASC LIMIT 1
1464,student_club,Write the full names of students who received funds on the date of 9/9/2019 and include the amount received.,"full name refers to first_name, last_name, amount of funds received refers to amount, received funds on date refers to date_received","SELECT DISTINCT T3.first_name, T3.last_name, T4.amount FROM event AS T1 INNER JOIN attendance AS T2 ON T1.event_id = T2.link_to_event INNER JOIN member AS T3 ON T3.member_id = T2.link_to_member INNER JOIN income AS T4 ON T4.link_to_member = T3.member_id WHERE T4.date_received = '2019-09-09'",challenging,19,"SELECT T.first_name, T.last_name, T.amount FROM student_funds AS T WHERE T.date_received = '2019-09-09'"
1312,student_club,What's Angela Sanders's major?,"Angela Sanders is the full name; full name refers to first_name, last_name; major refers to major_name.",SELECT T2.major_name FROM member AS T1 INNER JOIN major AS T2 ON T1.link_to_major = T2.major_id WHERE T1.first_name = 'Angela' AND T1.last_name = 'Sanders',simple,4,SELECT T2.major_name FROM student AS T1 INNER JOIN major AS T2 ON T1.major_id = T2.major_id WHERE T1.first_name = 'Angela' AND T1.last_name = 'Sanders'
1339,student_club,Calculate the total average cost that Elijah Allen spent in the events on September and October.,"Elijah Allen is the full name; full name refers to first_name, last_name; The 5th and 6th string of the expense_date in the expense table can refer to month; events in September and October refers to month(expense_date) = 9 OR month(expense_date) = 10","SELECT AVG(T2.cost) FROM member AS T1 INNER JOIN expense AS T2 ON T1.member_id = T2.link_to_member WHERE T1.last_name = 'Allen' AND T1.first_name = 'Elijah' AND (SUBSTR(T2.expense_date, 6, 2) = '09' OR SUBSTR(T2.expense_date, 6, 2) = '10')",challenging,16,"SELECT AVG(T2.expense_amount) FROM club_member AS T1 INNER JOIN expense AS T2 ON T1.club_member_id = T2.club_member_id WHERE T1.first_name = 'Elijah' AND T1.last_name = 'Allen' AND STRFTIME('%m', T2.expense_date) IN ('09', '10')"
1317,student_club,"Among the students from the Student_Club who attended the event ""Women's Soccer"", how many of them want a T-shirt that's in medium size?",Women's Soccer is an event name; T-shirt that is in medium size refers to t_shirt_size = 'Medium',SELECT COUNT(T1.event_id) FROM event AS T1 INNER JOIN attendance AS T2 ON T1.event_id = T2.link_to_event INNER JOIN member AS T3 ON T2.link_to_member = T3.member_id WHERE T1.event_name = 'Women''s Soccer' AND T3.t_shirt_size = 'Medium',moderate,23,SELECT COUNT(*) FROM student_attendance AS T1 INNER JOIN club_events AS T2 ON T1.event_id = T2.event_id WHERE T2.event_name = 'Women''s Soccer' AND T1.t_shirt_size = 'Medium'
1322,student_club,"Among the events attended by more than 10 members of the Student_Club, how many of them are meetings?",meetings events refers to type = 'Meeting'; attended by more than 10 members refers to COUNT(event_id) > 10,SELECT COUNT(DISTINCT T1.event_id) FROM event AS T1 INNER JOIN attendance AS T2 ON T1.event_id = T2.link_to_event WHERE T1.type = 'Meeting' GROUP BY T1.event_id HAVING COUNT(T2.link_to_event) > 10,moderate,18,SELECT COUNT(*) FROM events WHERE event_id IN ( SELECT event_id FROM attendance GROUP BY event_id HAVING COUNT(event_id) > 10 ) AND type = 'Meeting'
1392,student_club,Indicate the top source of funds received in September 2019 based on their amount.,top source funds refers to MAX(source); September 2019 means date_received BETWEEN '2019-09-01' and '2019-09-30',SELECT source FROM income WHERE date_received BETWEEN '2019-09-01' and '2019-09-30' ORDER BY source DESC LIMIT 1,simple,14,SELECT source FROM donations WHERE date_received BETWEEN '2019-09-01' AND '2019-09-30' ORDER BY amount DESC LIMIT 1
1409,student_club,Mention the total expense used on 8/20/2019.,total expense refers SUM(cost) where expense_date = '2019-08-20',SELECT SUM(cost) FROM expense WHERE expense_date = '2019-08-20',simple,7,SELECT SUM(cost) FROM expenses WHERE expense_date = '2019-08-20'
1460,student_club,"Write the full name of the member who spent money for water, veggie tray and supplies and include the cost of it.","full name refers to first_name, last name; spent money for refers expense description; expense_description = 'Water, Veggie tray, supplies'","SELECT T2.first_name, T2.last_name, T1.cost FROM expense AS T1 INNER JOIN member AS T2 ON T1.link_to_member = T2.member_id WHERE T1.expense_description = 'Water, Veggie tray, supplies'",challenging,22,"SELECT T1.first_name, T1.last_name, T2.amount FROM members AS T1 INNER JOIN expenses AS T2 ON T1.id = T2.member_id WHERE T2.expense_description = 'Water, Veggie tray, supplies'"
1361,student_club,What is the total cost of the pizzas for all the events?,total cost of the pizzas refers to SUM(cost) where expense_description = 'Pizza',SELECT SUM(cost) FROM expense WHERE expense_description = 'Pizza',simple,12,"SELECT SUM(CAST(REPLACE(SUBSTR(expense_amount, 4), ',', '') AS REAL)) FROM expenses WHERE expense_description = 'Pizza'"
1376,student_club,"Among all the closed events, which event has the highest spend-to-budget ratio?","closed events refers to event_name where status = 'Closed'; highest spend-to budget ratio refers to MAX(DIVIDE(spent, amount))",SELECT T2.event_name FROM budget AS T1 INNER JOIN event AS T2 ON T1.link_to_event = T2.event_id WHERE T2.status = 'Closed' ORDER BY T1.spent / T1.amount DESC LIMIT 1,moderate,12,SELECT T1.event_name FROM events AS T1 INNER JOIN budgets AS T2 ON T1.id = T2.event_id WHERE T1.status = 'Closed' ORDER BY CAST(T1.spent AS REAL) / T2.amount DESC LIMIT 1
